id;idno;name;phone;pending;create_date;modify_date
1;福建省;utilize;"0958345390";40227;2023-02-12T23:45:04;2023-02-12T16:53:21
2;asymmetric Incredible empower;blue;"0946970713";95902;2023-02-13T00:28:14;2023-02-12T10:52:34
3;Investor 台灣省 connect;panel;"0926995415";58403;2023-02-12T22:18:05;2023-02-12T03:48:33
4;Buckinghamshire monetize;pixel SCSI Paradigm;"0909406525";14172;2023-02-12T16:28:29;2023-02-12T21:19:38
5;green primary Communications;dedicated array;"0947997063";65852;2023-02-12T11:11:02;2023-02-12T17:16:12
6;matrix;Keyboard Ergonomic Tasty;"0920294041";70116;2023-02-12T06:52:59;2023-02-12T08:01:37
7;fuchsia;Concrete Small;"0970588210";82849;2023-02-12T20:05:01;2023-02-12T16:30:05
8;blue Salad;Tactics Bahamas;"0912396281";27735;2023-02-13T01:20:37;2023-02-13T00:02:30
9;台灣省 tangible Fresh;National Pataca;"0929084585";14478;2023-02-12T23:29:06;2023-02-12T22:54:08
10;syndicate;台灣省 北路 disintermediate;"0940471389";72337;2023-02-12T10:02:39;2023-02-12T15:50:27
